X,Y,INF_NOME,INF_DESCRICAO,MORADA1,FREGUESIA
-9.15468155340841,38.7524413381494,Universidade de Lisboa - Instituto de Educação,,"['Faculdade de Psicologia da Universidade de Lisboa', ' Rua Professor António Flores', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1649-026', ' Portugal']",Alvalade
-9.098214857817151,38.7760356110963,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de ,Público/Politécnico,"['Escola Superior de Tecnologia da Saúde de Lisboa', ' Rua de Moscavide ao Parque das Nações', ' Parque das Nações', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1885-020', ' Portugal']",Parque das Nações
-9.16233255229399,38.7142739947244,Escola Superior de Educadores de Infância Maria Ulrich,"Privado/Politécnico
","['Rua do Jardim à Estrela', ' Lapa', ' Estrela', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1350-294 LAPA', ' Portugal']",Estrela
-9.19251199415144,38.7463970038608,Instituto Politécnico de Lisboa - Escola Superior de Comunicação Social de Lisboa,,"['Campus do Instituto Politécnico de Lisboa - Benfica', "" Rua Joaquim Paço d'Arcos"", ' Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1500-083', ' Portugal']",Benfica
-9.14566347856055,38.7243178986538,Escola Superior de Enfermagem S. Francisco das Misericórdias,"Privado/Politécnico
Funciona nas instalações da Universidade Autónoma de Lisboa","['Universidade Autónoma de Lisboa Luís de Camões', ' 56', ' Rua de Santa Marta', ' Coração de Jesus', ' Santo António', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1150-255', ' Portugal']",Santo António
-9.16015943509522,38.7337969377653,Universidade Nova de Lisboa,,"['Reitoria UNL', ' Corredor Verde Monsanto-Parque Eduardo VII', ' Campolide', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1099-085 LISBOA', ' Portugal']",Campolide
-9.16602655948958,38.7486260572302,Universidade Católica Portuguesa - Instituto de Ciências da Saúde,Privado/Universitário,"['Universidade Católica Portuguesa Lisboa', ' Rua Azevedo Neves', ' São Domingos de Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1600', ' Portugal']",São Domingos de Benfica
-9.15533209447258,38.709838001531,Universidade de Lisboa - Instituto Superior de Economia e Gestão,,"['Quelhas 6', ' Rua Jorge Alves', ' Santos-o-Velho', ' Estrela', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1249-077', ' Portugal']",Estrela
-9.14811370895647,38.7133323640589,Instituto Politécnico de Lisboa - Escola Superior de Dança de Lisboa,Público/Politécnico,"['Escola Superior de Dança', ' 5', ' Rua da Academia das Ciências', ' Santa Catarina', ' Príncipe Real', ' Misericórdia', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200', ' Portugal']",Misericórdia
-9.16044008675627,38.7688153569962,Instituto Superior de Tecnologias Avançadas de Lisboa,Privado/Politécnico,"['Campus Académico do Lumiar', ' Rua Ladislau Patrício', ' Quinta do Lambert', ' Lumiar', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1750-143', ' Portugal']",Lumiar
-9.144422157754882,38.708467196656606,Instituto Politécnico de Lisboa - Escola Superior de Música de Lisboa,Público/Politécnico,"[""Lisb'on Hostel"", ' 7A', ' Rua do Ataíde', ' Encarnação', ' Misericórdia', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200-429 SÃO PAULO', ' Portugal']",Misericórdia
-9.156748862541448,38.751825360594,Universidade de Lisboa - Faculdade de Direito,,"['Universidade de Lisboa - Cidade Universitária', ' Alameda da Universidade', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1649-028', ' Portugal']",Alvalade
-9.15444437930881,38.7486955051399,ISCTE - Instituto Universitário de Lisboa,,"['ISCTE - Instituto Universitário de Lisboa', ' Rua Paul Choffat', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1649-026', ' Portugal']",Alvalade
-9.19210051364904,38.697975824660794,Universidade Lusíada,Privado/Universitário,"['Universidade Lusíada de Lisboa', ' Rua Pinto Ferreira', ' Junqueira', ' Alcântara', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1300-41', ' Portugal']",Alcântara
-9.150790763063311,38.740515091636794,Universidade Nova de Lisboa  - Faculdade de Ciências Sociais e Humanas,,"['Torre B', ' Avenida de Berna', ' Sete Rios', ' São Sebastião da Pedreira', ' Avenidas Novas', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1050-038', ' Portugal']",Avenidas Novas
-9.18158997688981,38.6992975328836,Academia Nacional Superior de Orquestra,Privado/Politécnico,"['Orquestra Metropolitana de Lisboa / ANSE', ' Avenida da Índia', ' Junqueira', ' Alcântara', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1300-141', ' Portugal']",Alcântara
-9.157990935237029,38.7162494240395,Escola Superior de Educação de João de Deus,"Privado/Politécnico
","['Jardim João de Deus', ' Avenida Pedro Álvares Cabral', ' Santa Isabel', ' Campo de Ourique', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1250-015', ' Portugal']",Campo de Ourique
-9.15096263323504,38.7598502623141,Universidade Católica Portuguesa - Escola Superior Politécnica de Saúde (Lisboa),Privado/Politécnico,"['Colégio São Vicente de Paulo', ' 10', ' Rua Odette de Saint-Maurice', ' São João de Brito', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1700-238', ' Portugal']",Alvalade
-9.182374321117221,38.7076611761002,Universidade de Lisboa - Instituto Superior de Agronomia,"Inaugurado em 1917, com projecto do arq. Álvaro Bermudes, veio substituir as anteriores instalações da Cruz do Tabuado e da anexa Quinta da Bemposta. Possui uma excelente biblioteca onde se realizam várias manifestações culturais como exposições e concertos. Pela tapada há, espalhados, diversos edifícios que servem para albergar não só serviços ali montados, como também o pessoal que ali trabalha.
","['Instituto Superior de Agronomia', ' Tapada da Ajuda', ' Santo Amaro', ' Alcântara', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1300-375', ' Portugal']",Alcântara
